date,compound
2021-01-24 17:00:00,9.3693
2021-01-24 18:00:00,-0.48400000000000015
2021-01-24 19:00:00,7.0197
2021-01-24 20:00:00,4.4624
2021-01-24 21:00:00,5.784
2021-01-24 22:00:00,6.991
2021-01-24 23:00:00,1.7956999999999996
2021-01-25 00:00:00,10.6704
2021-01-25 01:00:00,6.1687
2021-01-25 02:00:00,3.2534
2021-01-25 03:00:00,4.0803
2021-01-25 04:00:00,2.7598000000000003
2021-01-25 05:00:00,1.1352
2021-01-25 06:00:00,6.1501
2021-01-25 07:00:00,5.4056
2021-01-25 08:00:00,8.5933
2021-01-25 09:00:00,8.3531
2021-01-25 10:00:00,7.8469
2021-01-25 11:00:00,6.6311
2021-01-25 12:00:00,5.9826
2021-01-25 13:00:00,7.3853
2021-01-25 14:00:00,4.7814000000000005
2021-01-25 15:00:00,15.0452
2021-01-25 16:00:00,13.7567
2021-01-25 17:00:00,9.671199999999999
2021-01-25 18:00:00,8.2551
2021-01-25 19:00:00,8.2739
2021-01-25 20:00:00,7.6057999999999995
2021-01-25 21:00:00,5.3241
2021-01-25 22:00:00,6.1984
2021-01-25 23:00:00,6.1915000000000004
2021-01-26 00:00:00,11.7536
2021-01-26 01:00:00,2.0819
2021-01-26 02:00:00,6.2955
2021-01-26 03:00:00,9.825099999999999
2021-01-26 04:00:00,-0.08099999999999996
2021-01-26 05:00:00,7.292
2021-01-26 06:00:00,4.0934
2021-01-26 07:00:00,5.6197
2021-01-26 08:00:00,9.4903
2021-01-26 09:00:00,6.1678
2021-01-26 10:00:00,4.7664
2021-01-26 11:00:00,6.0382
2021-01-26 12:00:00,7.8741
2021-01-26 13:00:00,3.994
2021-01-26 14:00:00,9.7857
2021-01-26 15:00:00,6.6110999999999995
2021-01-26 16:00:00,5.3081
2021-01-26 17:00:00,9.4972
2021-01-26 18:00:00,8.3179
2021-01-26 19:00:00,6.2763
2021-01-26 20:00:00,1.7315
2021-01-26 21:00:00,4.7634
2021-01-26 22:00:00,3.7620000000000005
2021-01-26 23:00:00,1.5232999999999999
2021-01-27 00:00:00,4.9943
2021-01-27 01:00:00,2.5959
2021-01-27 02:00:00,4.9676
2021-01-27 03:00:00,4.0195
2021-01-27 04:00:00,5.932
2021-01-27 05:00:00,5.9946
2021-01-27 06:00:00,3.9358000000000004
2021-01-27 07:00:00,4.4088
2021-01-27 08:00:00,7.305400000000001
2021-01-27 09:00:00,4.924300000000001
2021-01-27 10:00:00,5.7894
2021-01-27 11:00:00,4.863
2021-01-27 12:00:00,4.6838999999999995
2021-01-27 13:00:00,5.1808000000000005
2021-01-27 14:00:00,14.281
2021-01-27 15:00:00,7.2858
2021-01-27 16:00:00,13.9499
2021-01-27 17:00:00,5.133500000000001
2021-01-27 18:00:00,4.916300000000001
2021-01-27 19:00:00,6.8578
2021-01-27 20:00:00,12.7951
2021-01-27 21:00:00,1.9112000000000002
2021-01-27 22:00:00,10.0694
2021-01-27 23:00:00,5.8786
2021-01-28 00:00:00,2.2150000000000003
2021-01-28 01:00:00,3.2822
2021-01-28 02:00:00,-0.17070000000000013
2021-01-28 03:00:00,9.0729
2021-01-28 04:00:00,4.3475
2021-01-28 05:00:00,3.9325
2021-01-28 06:00:00,13.614700000000001
2021-01-28 07:00:00,6.811
2021-01-28 08:00:00,4.6482
2021-01-28 09:00:00,6.4404
2021-01-28 10:00:00,2.7297
2021-01-28 11:00:00,3.6836
2021-01-28 12:00:00,4.504300000000001
2021-01-28 13:00:00,11.3902
